STATE/UT,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Gujarat,2001,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,For Illicit intercourse,141,0,2,3,19,5,62,5,42,0,3,0,0,13,128,141
Gujarat,2001,For marriage,652,0,3,0,108,14,329,31,160,6,2,0,0,51,602,653
Gujarat,2001,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,For Ransom,30,1,0,5,2,2,0,9,0,11,0,0,0,28,2,30
Gujarat,2001,For Revenge,18,2,0,0,1,0,1,6,1,5,2,0,0,13,5,18
Gujarat,2001,For Sale,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Gujarat,2001,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,For unlawaful activity,3,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
Gujarat,2001,Others,150,8,8,3,9,4,28,39,20,32,7,5,4,91,76,167
Gujarat,2001,Total,998,11,14,11,139,25,420,90,225,56,15,6,4,199,817,1016
Gujarat,2002,For Adoption,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
Gujarat,2002,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,For Illicit intercourse,126,0,1,1,13,0,10,5,68,6,22,0,0,12,114,126
Gujarat,2002,For marriage,624,0,0,0,45,3,186,13,358,17,7,1,0,34,596,630
Gujarat,2002,For Prostitution,25,0,0,0,0,0,6,0,19,0,0,0,0,0,25,25
Gujarat,2002,For Ransom,36,6,2,0,0,2,0,10,2,13,1,0,0,31,5,36
Gujarat,2002,For Revenge,19,0,1,1,0,0,1,6,2,8,0,0,0,15,4,19
Gujarat,2002,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2002,Others,183,6,8,4,12,10,12,62,37,25,7,2,1,109,77,186
Gujarat,2002,Total,1015,12,12,6,70,15,216,97,486,69,37,3,1,202,822,1024
Gujarat,2003,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,For Illicit intercourse,177,0,0,0,24,1,26,16,101,0,9,0,0,17,160,177
Gujarat,2003,For marriage,593,0,2,3,50,3,125,36,342,0,33,0,0,42,552,594
Gujarat,2003,For Prostitution,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
Gujarat,2003,For Ransom,48,4,0,3,0,1,1,18,3,14,0,5,0,45,4,49
Gujarat,2003,For Revenge,10,0,0,0,0,0,0,9,0,1,0,0,0,10,0,10
Gujarat,2003,For Sale,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Gujarat,2003,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2003,For unlawaful activity,16,0,0,0,0,0,1,11,0,4,0,0,0,15,1,16
Gujarat,2003,Others,198,5,7,1,3,1,4,37,68,44,18,7,4,95,104,199
Gujarat,2003,Total,1044,10,10,7,77,6,158,127,514,63,60,12,4,225,823,1048
Gujarat,2004,For Adoption,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Gujarat,2004,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,For Illicit intercourse,136,2,1,1,11,1,19,11,80,0,10,0,0,15,121,136
Gujarat,2004,For marriage,688,1,2,0,84,2,167,16,410,1,9,0,0,20,672,692
Gujarat,2004,For Prostitution,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Gujarat,2004,For Ransom,36,3,0,1,0,1,0,12,1,19,0,0,0,36,1,37
Gujarat,2004,For Revenge,24,0,0,0,0,0,0,16,0,8,0,0,0,24,0,24
Gujarat,2004,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2004,For unlawaful activity,5,0,0,0,0,1,0,3,0,1,0,0,0,5,0,5
Gujarat,2004,Others,242,2,10,8,6,7,7,63,92,33,14,1,4,114,133,247
Gujarat,2004,Total,1133,8,15,10,101,12,193,121,583,62,33,1,4,214,929,1143
Gujarat,2005,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2005,For Begging,2,0,2,1,0,0,0,0,0,0,1,0,0,1,3,4
Gujarat,2005,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2005,For Illicit intercourse,154,0,5,1,15,0,29,3,98,1,2,0,0,5,149,154
Gujarat,2005,For marriage,660,0,0,0,57,0,94,3,504,1,7,0,0,4,662,666
Gujarat,2005,For Prostitution,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Gujarat,2005,For Ransom,31,3,0,6,0,0,1,8,0,12,0,1,0,30,1,31
Gujarat,2005,For Revenge,22,1,0,0,0,0,0,5,2,14,0,0,0,20,2,22
Gujarat,2005,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2005,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2005,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2005,For unlawaful activity,18,5,0,1,0,0,0,1,2,6,0,3,0,16,2,18
Gujarat,2005,Others,276,13,3,14,5,4,28,86,55,33,29,6,0,156,120,276
Gujarat,2005,Total,1164,22,10,23,77,4,152,106,662,67,39,10,0,232,940,1172
Gujarat,2006,For Adoption,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Gujarat,2006,For Begging,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Gujarat,2006,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,For Illicit intercourse,184,0,5,0,21,0,78,5,69,0,10,0,0,5,183,188
Gujarat,2006,For marriage,713,0,0,0,44,0,161,7,445,1,61,0,0,8,711,719
Gujarat,2006,For Prostitution,4,0,0,0,0,0,0,2,1,1,0,0,0,3,1,4
Gujarat,2006,For Ransom,19,0,0,2,0,1,0,7,1,7,0,2,0,19,1,20
Gujarat,2006,For Revenge,14,0,0,0,0,1,0,5,0,8,0,0,0,14,0,14
Gujarat,2006,For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Gujarat,2006,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2006,Others,190,17,8,14,10,9,19,63,12,28,6,3,0,134,55,189
Gujarat,2006,Total,1128,20,13,16,75,11,258,89,529,45,77,5,0,186,952,1138
Gujarat,2007,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For Illicit intercourse,180,1,3,0,22,8,40,9,84,4,10,0,0,22,159,181
Gujarat,2007,For marriage,783,0,2,0,91,2,221,24,391,3,46,0,1,29,752,781
Gujarat,2007,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For Ransom,29,6,1,0,2,1,0,15,2,6,0,1,0,29,5,34
Gujarat,2007,For Revenge,17,1,0,0,0,0,0,9,1,5,1,0,0,15,2,17
Gujarat,2007,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2007,Others,303,12,7,9,13,9,6,82,98,43,28,6,1,161,153,314
Gujarat,2007,Total,1312,20,13,9,128,20,267,139,576,61,85,7,2,256,1071,1327
Gujarat,2008,For Adoption,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
Gujarat,2008,For Begging,5,0,2,2,0,0,0,1,0,0,0,0,0,3,2,5
Gujarat,2008,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,For Illicit intercourse,178,3,3,0,19,0,48,12,86,0,9,0,0,15,165,180
Gujarat,2008,For marriage,828,0,0,0,63,0,293,20,400,8,49,0,0,28,805,833
Gujarat,2008,For Prostitution,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Gujarat,2008,For Ransom,26,1,1,3,0,0,0,10,5,6,0,0,0,20,6,26
Gujarat,2008,For Revenge,46,1,1,0,0,0,1,28,0,14,1,0,0,43,3,46
Gujarat,2008,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,For unlawaful activity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2008,Others,237,12,9,21,12,5,26,70,38,44,6,2,0,154,91,245
Gujarat,2008,Total,1323,17,16,26,94,5,368,142,530,73,65,2,0,265,1073,1338
Gujarat,2009,For Adoption,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2
Gujarat,2009,For Begging,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Gujarat,2009,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2009,For Illicit intercourse,254,0,1,0,32,9,29,18,155,3,5,0,0,30,222,252
Gujarat,2009,For marriage,772,0,4,0,104,0,195,18,397,13,51,0,0,31,751,782
Gujarat,2009,For Prostitution,30,0,0,0,8,0,5,0,17,0,0,0,0,0,30,30
Gujarat,2009,For Ransom,21,3,0,1,0,0,0,11,3,5,0,0,0,20,3,23
Gujarat,2009,For Revenge,11,0,1,0,1,1,1,2,2,3,0,1,0,7,5,12
Gujarat,2009,For Sale,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
Gujarat,2009,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2009,For Slavery,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Gujarat,2009,For unlawaful activity,49,0,0,0,1,30,0,13,0,5,0,0,0,48,1,49
Gujarat,2009,Others,205,16,12,3,15,8,20,50,32,36,4,2,0,115,83,198
Gujarat,2009,Total,1348,20,18,7,161,48,251,113,607,65,60,3,0,256,1097,1353
Gujarat,2010,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For Illicit intercourse,259,1,3,0,31,0,94,11,106,6,7,0,0,18,241,259
Gujarat,2010,For marriage,893,0,0,0,68,0,281,19,473,14,33,0,6,33,861,894
Gujarat,2010,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For Ransom,28,2,0,1,0,1,1,11,1,10,0,1,0,26,2,28
Gujarat,2010,For Revenge,7,0,0,0,0,0,0,4,2,1,0,0,0,5,2,7
Gujarat,2010,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2010,For unlawaful activity,25,0,0,4,0,1,0,14,0,6,0,0,0,25,0,25
Gujarat,2010,Others,235,9,5,8,7,6,44,66,34,43,11,3,1,135,102,237
Gujarat,2010,Total,1447,12,8,13,106,8,420,125,616,80,51,4,7,242,1208,1450
Gujarat,2011,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2011,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2011,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2011,For Illicit intercourse,153,0,2,0,19,0,54,0,72,0,7,0,0,0,154,154
Gujarat,2011,For marriage,1183,1,0,14,109,2,353,78,526,29,71,2,0,126,1059,1185
Gujarat,2011,For Prostitution,48,0,1,0,0,0,0,21,9,16,1,0,0,37,11,48
Gujarat,2011,For Ransom,21,2,2,0,0,0,1,2,6,5,2,2,0,11,11,22
Gujarat,2011,For Revenge,5,0,0,0,0,1,0,3,0,0,0,1,0,5,0,5
Gujarat,2011,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2011,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2011,For Slavery,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Gujarat,2011,For unlawaful activity,2,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
Gujarat,2011,Others,201,3,5,1,3,8,26,59,40,37,12,6,1,114,87,201
Gujarat,2011,Total,1614,6,10,15,131,11,434,165,653,88,93,11,1,296,1322,1618
Gujarat,2012,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2012,For Begging,3,2,2,0,0,0,0,0,0,0,0,0,0,2,2,4
Gujarat,2012,For Camel racing,70,0,0,0,0,0,7,0,41,0,22,0,0,0,70,70
Gujarat,2012,For Illicit intercourse,172,0,8,0,40,0,35,9,80,0,0,0,0,9,163,172
Gujarat,2012,For marriage,1099,0,7,4,148,1,424,85,375,44,13,0,0,134,967,1101
Gujarat,2012,For Prostitution,46,0,0,0,0,0,0,23,4,17,2,0,0,40,6,46
Gujarat,2012,For Ransom,19,3,1,0,0,2,1,3,5,5,1,0,0,13,8,21
Gujarat,2012,For Revenge,7,0,1,1,0,1,2,2,0,1,0,0,0,5,3,8
Gujarat,2012,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2012,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2012,For Slavery,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
Gujarat,2012,For unlawaful activity,60,0,0,0,0,5,46,0,3,2,2,2,0,9,51,60
Gujarat,2012,Others,242,11,10,4,12,13,47,43,46,41,11,5,1,117,127,244
Gujarat,2012,Total,1720,16,29,9,200,22,562,167,554,110,51,7,1,331,1397,1728
Haryana,2001,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,For Begging,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
Haryana,2001,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,For Illicit intercourse,95,0,3,0,27,0,48,0,17,0,0,0,0,0,95,95
Haryana,2001,For marriage,174,0,0,0,33,0,88,0,51,0,3,0,0,0,175,175
Haryana,2001,For Prostitution,3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,3
Haryana,2001,For Ransom,11,4,0,4,0,2,0,2,0,0,0,0,0,12,0,12
Haryana,2001,For Revenge,25,5,0,3,0,4,0,6,0,6,0,1,0,25,0,25
Haryana,2001,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,For unlawaful activity,21,3,0,0,0,2,0,5,0,9,0,1,1,20,1,21
Haryana,2001,Others,119,5,1,2,2,13,5,37,8,34,10,2,4,93,30,123
Haryana,2001,Total,449,19,4,9,62,21,141,50,77,51,13,4,5,154,302,456
Haryana,2002,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,For Illicit intercourse,83,0,0,0,1,0,3,0,77,0,2,0,0,0,83,83
Haryana,2002,For marriage,160,0,0,0,4,0,6,0,146,0,5,0,0,0,161,161
Haryana,2002,For Prostitution,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Haryana,2002,For Ransom,10,0,1,1,0,1,0,2,0,3,1,1,0,8,2,10
Haryana,2002,For Revenge,33,3,1,0,0,4,0,15,0,10,0,0,0,32,1,33
Haryana,2002,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2002,For unlawaful activity,25,1,3,2,0,1,0,10,2,10,1,0,0,24,6,30
Haryana,2002,Others,115,3,3,2,3,9,1,34,32,29,2,2,0,79,41,120
Haryana,2002,Total,427,7,8,5,9,15,10,61,257,52,11,3,0,143,295,438
Haryana,2003,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,For Begging,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Haryana,2003,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,For Illicit intercourse,57,0,0,0,2,0,3,0,52,0,0,0,0,0,57,57
Haryana,2003,For marriage,160,0,0,0,3,0,77,0,77,0,5,0,0,0,162,162
Haryana,2003,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,For Ransom,8,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8
Haryana,2003,For Revenge,30,0,0,0,0,0,0,13,12,3,1,1,0,17,13,30
Haryana,2003,For Sale,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Haryana,2003,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2003,For unlawaful activity,15,0,0,0,0,0,0,11,0,10,1,0,0,21,1,22
Haryana,2003,Others,116,1,1,1,1,2,1,47,39,22,3,1,0,74,45,119
Haryana,2003,Total,388,1,1,1,6,2,81,79,182,35,10,2,0,120,280,400
Haryana,2004,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,For Begging,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Haryana,2004,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,For Illicit intercourse,66,0,0,0,0,0,13,0,58,0,0,0,0,0,71,71
Haryana,2004,For marriage,173,0,0,0,0,7,15,10,139,0,3,0,0,17,157,174
Haryana,2004,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,For Ransom,8,2,0,0,0,3,0,2,1,0,0,0,0,7,1,8
Haryana,2004,For Revenge,23,0,0,0,0,0,0,9,8,6,0,0,0,15,8,23
Haryana,2004,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2004,For unlawaful activity,20,0,0,0,0,0,0,16,1,3,0,0,0,19,1,20
Haryana,2004,Others,132,0,0,0,0,1,0,48,51,19,3,4,0,72,54,126
Haryana,2004,Total,423,3,0,0,0,11,28,85,258,28,6,4,0,131,292,423
Haryana,2005,For Adoption,17,1,0,1,5,2,5,3,1,0,0,0,0,7,11,18
Haryana,2005,For Begging,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Haryana,2005,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,For Illicit intercourse,68,0,0,1,8,0,11,0,18,0,31,0,0,1,68,69
Haryana,2005,For marriage,213,0,0,0,10,0,8,0,108,0,91,0,0,0,217,217
Haryana,2005,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,For Ransom,6,3,0,0,0,0,0,1,0,2,0,0,0,6,0,6
Haryana,2005,For Revenge,25,4,3,1,0,2,0,9,0,6,1,1,0,23,4,27
Haryana,2005,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2005,For unlawaful activity,29,3,2,1,0,1,4,6,10,10,0,0,0,21,16,37
Haryana,2005,Others,133,0,2,4,1,8,9,58,23,27,1,1,0,98,36,134
Haryana,2005,Total,492,11,8,8,24,13,37,77,160,45,124,2,0,156,353,509
Haryana,2006,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2006,For Begging,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Haryana,2006,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2006,For Illicit intercourse,82,0,0,0,28,0,44,0,10,0,0,0,0,0,82,82
Haryana,2006,For marriage,298,0,0,0,10,3,38,3,284,0,1,0,0,6,333,339
Haryana,2006,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2006,For Ransom,10,1,0,2,0,0,0,2,0,3,1,1,0,9,1,10
Haryana,2006,For Revenge,31,0,1,3,3,2,0,18,0,5,0,0,0,28,4,32
Haryana,2006,For Sale,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Haryana,2006,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2006,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2006,For unlawaful activity,21,2,1,0,2,1,0,1,4,6,0,5,0,15,7,22
Haryana,2006,Others,191,1,2,2,2,2,19,66,20,30,7,2,2,103,52,155
Haryana,2006,Total,635,5,4,7,46,8,101,90,318,44,9,8,2,162,480,642
Haryana,2007,For Adoption,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
Haryana,2007,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,For Illicit intercourse,111,0,1,0,3,0,6,0,100,0,1,0,0,0,111,111
Haryana,2007,For marriage,351,0,0,0,6,8,6,0,326,0,6,0,0,8,344,352
Haryana,2007,For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,For Ransom,11,6,0,1,0,0,0,3,0,1,0,0,0,11,0,11
Haryana,2007,For Revenge,39,6,2,3,10,4,0,4,0,10,0,0,0,27,12,39
Haryana,2007,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2007,For Slavery,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Haryana,2007,For unlawaful activity,17,1,1,0,1,1,0,2,3,6,1,1,0,11,6,17
Haryana,2007,Others,269,6,4,4,13,8,3,11,72,138,5,6,0,173,97,270
Haryana,2007,Total,801,19,9,8,33,22,16,20,501,155,13,7,0,231,572,803
Haryana,2008,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,For Illicit intercourse,120,0,0,0,3,1,9,0,107,0,4,0,1,1,124,125
Haryana,2008,For marriage,419,0,0,0,5,8,6,0,375,0,27,0,0,8,413,421
Haryana,2008,For Prostitution,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
Haryana,2008,For Ransom,11,7,0,1,0,0,0,0,0,1,0,1,0,10,0,10
Haryana,2008,For Revenge,19,2,0,0,3,0,0,5,2,8,1,0,0,15,6,21
Haryana,2008,For Sale,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
Haryana,2008,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2008,For unlawaful activity,18,1,1,1,1,0,0,8,3,3,0,0,0,13,5,18
Haryana,2008,Others,267,2,1,3,27,10,10,94,78,33,6,5,1,147,123,270
Haryana,2008,Total,854,12,2,5,39,19,27,108,565,47,38,6,2,197,673,870
Haryana,2009,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,For Illicit intercourse,69,0,0,0,0,0,3,0,57,0,9,0,0,0,69,69
Haryana,2009,For marriage,513,0,1,0,22,0,83,0,354,0,25,0,28,0,513,513
Haryana,2009,For Prostitution,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
Haryana,2009,For Ransom,8,1,0,2,0,0,0,5,0,0,0,0,0,8,0,8
Haryana,2009,For Revenge,27,0,0,0,1,0,1,9,3,11,0,1,1,21,6,27
Haryana,2009,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2009,For unlawaful activity,25,2,3,1,0,1,0,7,1,8,1,1,0,20,5,25
Haryana,2009,Others,271,4,0,3,3,8,7,107,82,54,1,2,0,178,93,271
Haryana,2009,Total,916,7,4,6,26,9,97,128,497,73,36,4,29,227,689,916
Haryana,2010,For Adoption,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Haryana,2010,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
